region,t,hazard,exposure,vulnerability,social,p_action_true,action,subgroup
R000,0,0.4668218697008862,0.7359095685948519,0.4574947719600061,0.3867965582012601,0.634626273715387,1,elderly
R000,1,0.5380722150624347,0.8449884426811092,0.48999234857308926,0.42502388719173995,0.6819789166348194,0,baseline
R000,2,0.6203806443011932,0.7580539207938058,0.4695402910057668,0.3225325573527184,0.6954586260960094,0,baseline
R000,3,0.6106499140882975,0.7917754257607048,0.4170562745814448,0.5406749513030213,0.7170903571653943,0,elderly
R000,4,0.6076619993010528,0.7834118664135563,0.4777182110793093,0.45496522387202615,0.7008377025348373,1,baseline
R000,5,0.6662745456097625,0.9081009239814909,0.43078200098241104,0.36719654452846456,0.7518725301192648,1,baseline
R000,6,0.6908434583536253,0.8574671585740123,0.4454053789188981,0.3344051697393655,0.7477402667053862,0,elderly
R000,7,0.7074754410795634,0.8381812524981399,0.4782604652169016,0.35186984670674887,0.7464808494842556,0,baseline
R000,8,0.6952079195906145,0.8119529737744184,0.49467419069905133,0.44078037231308653,0.7383116526019262,1,baseline
R000,9,0.7066451408629232,0.8154745138724669,0.48266716309356883,0.27270523545005165,0.73698814642813,0,baseline
R000,10,0.6930453536711185,0.7690746515258007,0.43734563924030767,0.5679149485590579,0.7438269733155144,1,migrant
R000,11,0.7776240006381693,0.7168750553571775,0.43435850030235307,0.4346961239461189,0.7610056424786563,1,migrant
R000,12,0.7767116534198576,0.8406859056979641,0.43366649818921993,0.3721856381691616,0.782381149687611,1,baseline
R000,13,0.7427683647592416,0.7372342277710717,0.3944383911014678,0.3264755888354572,0.7517122122344637,1,baseline
R000,14,0.7698332510099152,0.8355428116413562,0.4297401194848151,0.43427478654328977,0.7822945841366796,1,baseline
R000,15,0.7567737052232024,0.8238573058158384,0.4180064547483093,0.38211543277911114,0.7738857466791578,1,baseline
R000,16,0.7210879978002358,0.8253671679772469,0.42763263479150565,0.41967022930838704,0.7603472489622372,1,baseline
R000,17,0.8109183733182473,0.8342877993866071,0.44617847757617063,0.37609098623120296,0.7931026868797549,1,migrant
R000,18,0.7109767905634982,0.7286629203168135,0.3849677711839217,0.31869613467547014,0.7383129413449473,0,elderly
R000,19,0.7558322087393514,0.7821104162359983,0.5160641666909451,0.38279442032947575,0.7504850627557722,1,baseline
R000,20,0.7591742017053512,0.7907466660445863,0.4036016490561128,0.3845175098455621,0.770504642024919,1,baseline
R000,21,0.7232039280747682,0.8227397261152607,0.4629895319182557,0.3590058218659389,0.7523313777585181,0,migrant
R000,22,0.8158413198627241,0.7745439084847776,0.46273656236937705,0.4206060319879626,0.7828651268860368,1,baseline
R000,23,0.8018705785695777,0.7498436693068745,0.46006653354945765,0.44042048583279486,0.7737280095484271,1,migrant
R000,24,0.856129191429307,0.8188620968954432,0.52426789636262,0.2995445120033332,0.7925611370965852,1,migrant
R000,25,0.7675095628729526,0.7815280537801794,0.3822684444238264,0.4819359121170588,0.780065964847496,1,baseline
R000,26,0.7386945297518978,0.7502395898775907,0.4667784441741516,0.5022334742250565,0.7506206369614074,1,baseline
R000,27,0.9552630725347522,0.8217390156017677,0.4016258458000486,0.2052161893624874,0.8464699647323715,1,elderly
R000,28,0.7652080309403287,0.7802506809289835,0.42049791184865143,0.4043417287939798,0.7692757482243295,0,baseline
R000,29,0.8089585898796217,0.7930868020860333,0.39932006416035126,0.2509525229651826,0.7848504128932619,1,baseline
R000,30,0.7926543847204837,0.889415039616962,0.45761647787528614,0.5166947685379241,0.8021370285571892,0,baseline
R000,31,0.7293446261958989,0.7527627058263492,0.41484144857485417,0.6312677906791347,0.7616275638913581,0,baseline
R000,32,0.822804440266505,0.7558721850336164,0.497681402445354,0.45691591404620463,0.7784897984488325,1,baseline
R000,33,0.7702029059024427,0.7682791591664982,0.47340636187574586,0.37292246940154034,0.759372163382992,1,baseline
R000,34,0.6988150854904059,0.8096479398240738,0.5300573146221635,0.4344199787929621,0.7336680239073007,0,baseline
R000,35,0.7666248879834495,0.8663186310233091,0.46207187686983464,0.37732809435224457,0.7794693045851787,1,baseline
R000,36,0.7625881463532955,0.8778063435377674,0.46026447366273715,0.2959739142635683,0.7763555519126396,1,baseline
R000,37,0.8117564795201577,0.8872018299771327,0.4421267911375118,0.38010208532201956,0.804829043398964,1,baseline
R000,38,0.6612117022835838,0.7562821929901764,0.48326909153609404,0.37896030514965934,0.7121987710385378,1,baseline
R000,39,0.6950940424622529,0.8178972713779145,0.5214768448673277,0.4274793081257929,0.7347695099366746,1,baseline
R000,40,0.5868650240820269,0.7985826238414618,0.40894123828699824,0.2965395113932555,0.6979483242277161,1,baseline
R000,41,0.6582396296532876,0.8468136710557684,0.38478311591466363,0.42148396669506005,0.7460153170200222,1,baseline
R000,42,0.6844701965973138,0.7768100722712888,0.4347190970835438,0.5186965999660788,0.7398770585289557,1,baseline
R000,43,0.7116034008315056,0.7932932599754727,0.41630562121810666,0.3960349357475684,0.7506559159323593,1,baseline
R000,44,0.6379070583318939,0.7467991403262995,0.4556272408830355,0.44124365044950886,0.7082407477880377,0,baseline
R000,45,0.7069884402016936,0.7583563764100267,0.436733583724183,0.272076617251918,0.7325604446666513,0,baseline
